Case Number,Camera Number
1,1
2,1049
3,12040
4,12362
5,12365
6,12853
7,12863
8,12870
9,12872
10,12879
11,12903
12,1306
13,1308
14,1363
15,15767
16,1593
17,1612
18,17039
19,17040
20,17163
21,17164
22,17165
23,17185
24,17188
25,17365
26,17390
27,18066
28,18170
29,18345
30,18374
31,18404
32,19
33,19059
34,19183
35,19289
36,19308
37,19311
38,20543
39,21061
40,21107
41,21142
42,21452
43,21742
44,21745
45,21746
46,21748
47,21756
48,21757
49,21758
50,21759
51,21765
52,21771
53,21779
54,21786
55,21790
56,21791
57,21794
58,21796
59,21805
60,21807
61,21822
62,21847
63,21850
64,2393
65,23968
66,2410
67,24133
68,26980
69,26986
70,26993
71,27017
72,27417
73,27420
74,27442
75,27445
76,27446
77,27450
78,27454
79,27457
80,27460
81,27462
82,27464
83,27466
84,27943
85,30300
86,30301
87,30989
88,30994
89,31376
90,3419
91,3724
92,4165
93,428
94,4308
95,5025
96,644
97,6833
98,6961
99,709
100,8221
