,DOY,green relative Year2015.C34,green relative Year2014,green relative Year2013,green relative Year2017
1,1,0.326594675,NA,0.326212427,0.329315053
2,2,0.325950097,NA,0.322124362,0.329503946
3,3,0.327028944,NA,0.326281612,0.329748881
4,4,0.321554388,NA,0.325647996,0.330624655
5,5,0.323642188,NA,0.32664214,0.332893314
6,6,0.326562202,NA,0.32487773,0.328482651
7,7,0.32343734,NA,0.321862995,0.326779601
8,8,NA,NA,0.32345968,0.329896316
9,9,0.322936649,NA,0.324452194,0.331729086
10,10,0.321833906,NA,0.322482691,0.329542201
11,11,0.322330329,NA,0.322347916,0.330164513
12,12,0.319980596,NA,NA,0.330848777
13,13,0.326719103,NA,NA,0.330802502
14,14,0.323273712,NA,0.326178262,0.333013443
15,15,0.326517015,NA,0.326674258,0.330331909
16,16,0.326401995,NA,0.323229284,0.330992394
17,17,0.325473966,NA,0.326932176,0.331184558
18,18,0.317957521,NA,0.32667476,0.33128482
19,19,0.3244949,NA,0.326386323,0.329448596
20,20,0.326991879,NA,0.326867159,0.328976408
21,21,0.325623035,0.329448543,0.326541621,0.331183754
22,22,0.327095406,0.328152088,0.32541716,0.330906924
23,23,NA,0.329039368,0.324204071,0.330291482
24,24,0.322986938,NA,0.323086911,0.328858517
25,25,0.324811258,NA,0.321971174,NA
26,26,0.324187196,NA,0.321498083,0.330083156
27,27,0.327183301,NA,0.324654745,0.329933476
28,28,0.319452883,NA,0.326340629,0.329564118
29,29,0.320103714,0.326728851,0.324951595,0.329281224
30,30,NA,0.32936496,0.318246808,0.327886685
31,31,0.323832092,0.329658418,0.320214244,0.330371112
32,32,0.325732816,NA,0.320905461,0.328881042
33,33,0.320038425,NA,0.324343992,0.330965773
34,34,0.322007087,NA,0.32096761,0.331283469
35,35,0.32395796,0.328386244,0.325405742,0.329172731
36,36,0.324695063,0.329919936,0.323789955,0.32905753
37,37,0.325217496,0.329662514,0.322953944,0.330977522
38,38,0.324277859,0.33013913,0.324392069,0.328299892
39,39,0.320686659,0.328986041,0.324675278,0.328330656
40,40,0.324868497,0.329376712,0.322737741,0.330419102
41,41,0.322698797,0.32761936,0.323225608,0.330511912
42,42,0.323774756,0.330650113,0.324952403,0.328597366
43,43,0.326909478,0.329733485,0.325478896,0.330821072
44,44,0.326612551,0.327857418,0.322353643,0.330586254
45,45,0.326127251,0.326266127,0.324637913,0.330855222
46,46,0.326049748,0.33068091,0.325305545,0.330894114
47,47,0.326340382,0.330582319,0.32671189,0.328797618
48,48,0.326883448,0.327110745,0.314792472,0.331308831
49,49,0.326079522,0.32849931,0.324869639,0.329056701
50,50,0.325616555,0.330078497,0.324053052,0.330066263
51,51,0.32548608,0.328487241,0.323592266,0.330947453
52,52,0.3234175,0.329723062,0.324695214,0.326105497
53,53,0.326964002,0.329635189,0.325233761,0.327602808
54,54,0.326517355,NA,0.322780788,0.331056205
55,55,0.327507817,NA,0.325033546,0.328487143
56,56,0.322795867,0.328509702,0.325193487,0.330876718
57,57,0.32667496,0.328958284,0.324404612,0.329112265
58,58,0.324369608,0.328898715,0.325304419,NA
59,59,0.324408657,NA,0.321860187,0.330587198
60,60,0.32623469,NA,0.322574996,0.330427774
61,61,0.325793049,NA,0.324729825,NA
62,62,0.32458977,NA,0.321383281,0.326468541
63,63,0.326270864,0.329979062,0.324421944,0.330819056
64,64,0.326460199,0.329449647,0.323958274,0.328593691
65,65,0.327234648,0.33169395,0.324805249,0.330122531
66,66,0.327103683,0.330916184,NA,0.330679802
67,67,0.326565374,NA,NA,0.330179139
68,68,0.326851838,NA,NA,NA
69,69,0.32679426,0.330907925,NA,0.330446858
70,70,0.326156406,NA,NA,0.331095582
71,71,0.323536358,0.328905376,NA,0.331283029
72,72,0.326313452,0.328668631,NA,0.330379997
73,73,0.324730714,0.328862703,NA,0.331526847
74,74,0.325598987,0.32861175,NA,0.326535216
75,75,0.327499037,0.328015989,NA,0.327341057
76,76,0.324461205,0.327827226,NA,0.33102735
77,77,0.325451062,0.328960622,NA,0.326843609
78,78,0.324633389,0.328381912,NA,0.330513669
79,79,NA,0.328934765,NA,0.328819455
80,80,0.326423092,0.328575457,NA,0.329745675
81,81,0.32536286,0.329084379,NA,0.33058821
82,82,0.326309493,0.328835494,NA,0.327554625
83,83,0.324594238,0.328695583,NA,0.330688187
84,84,0.324209237,0.328311693,NA,0.327567338
85,85,0.324936517,0.329518349,NA,0.330795613
86,86,0.324575513,0.329307347,0.320534332,0.328759727
87,87,0.32339458,0.33016489,NA,0.330461033
88,88,0.32500452,0.329626723,NA,0.330480508
89,89,0.326545458,NA,NA,0.329982919
90,90,0.32513053,0.329994406,NA,0.329010214
91,91,0.323234835,0.328944448,NA,0.329862668
92,92,0.326085335,0.329456508,NA,0.328011178
93,93,0.325276245,0.329529359,NA,0.330335467
94,94,0.325963294,0.33069435,0.322919138,0.33076164
95,95,0.325732663,0.328908526,0.321566231,0.329457017
96,96,0.324088046,0.331174152,0.323785558,0.329887044
97,97,0.325560657,0.328658113,0.322154606,0.328168312
98,98,0.327902739,0.328029058,0.320374003,0.326799194
99,99,0.323918859,0.328312738,0.322988633,0.327001994
100,100,0.324707733,0.328554403,0.323188796,0.328131182
101,101,0.32552997,0.328964254,0.32148252,0.330510575
102,102,0.324321509,0.328283342,0.32345701,0.328958796
103,103,0.326196154,0.329394202,NA,0.331483438
104,104,0.325456837,0.328876055,NA,0.327625009
105,105,0.322553895,0.328144536,NA,0.328161685
106,106,0.325589108,0.328409958,NA,0.327167255
107,107,0.325486238,0.328631856,NA,0.32851971
108,108,0.324452065,0.330234082,NA,0.329052174
109,109,NA,0.328805211,NA,0.326179289
110,110,NA,0.328644466,NA,0.328357707
111,111,0.324442567,0.328510463,NA,0.327361506
112,112,0.325988392,0.328235307,NA,0.327277428
113,113,0.322260282,0.327963315,0.323789668,0.328537167
114,114,0.323748701,0.327176486,0.324029671,0.327772552
115,115,0.32432091,NA,0.323988014,0.326745596
116,116,0.326293696,0.326553653,0.323491393,0.327196785
117,117,0.32268342,0.329293757,0.323154365,0.329541991
118,118,0.325448282,0.3280506,0.327910073,0.328714448
119,119,0.327458308,0.328491717,0.323088571,0.330671905
120,120,0.325592148,0.329467053,0.324900992,0.327065422
121,121,0.327438533,0.329905468,0.322847861,0.326769002
122,122,0.32846343,0.329214255,0.323636715,0.327220896
123,123,0.327564107,0.329276326,0.321987035,0.330948331
124,124,0.32888013,0.327537639,0.321794629,0.331764216
125,125,0.328629193,0.328947443,0.322391704,0.331410289
126,126,0.329545919,0.329051877,NA,0.330206607
127,127,0.328811483,0.32802492,NA,0.329723103
128,128,0.33048307,0.328457578,NA,0.328980437
129,129,0.331933389,0.328038521,NA,0.329325788
130,130,0.332530816,0.327792218,NA,0.332919419
131,131,0.332081036,0.328401486,NA,0.333617131
132,132,0.332751684,0.329783954,NA,0.332942409
133,133,0.336718947,0.330050223,NA,0.327499666
134,134,0.343420066,0.329618403,NA,0.330543627
135,135,0.345364593,0.330398421,NA,0.329350614
136,136,0.34655582,0.328882707,NA,0.328587923
137,137,0.347725157,0.325878947,NA,0.326164459
138,138,0.344553887,0.328517249,0.331986939,0.32832
