,DOY,green relative Year2015.C46,green relative Year2014,green relative Year2013
1,1,0.315401281,0.304106043,0.314317869
2,2,0.313563929,0.307232953,0.300972525
3,3,NA,0.306858577,0.302105538
4,4,NA,0.301638031,0.296455189
5,5,NA,0.303763247,0.310180478
6,6,NA,0.299947433,0.315411963
7,7,0.308172264,NA,0.311246072
8,8,0.298861283,0.311947736,0.304171785
9,9,0.304983218,0.311915995,0.312383015
10,10,0.305249219,0.307838671,0.304124635
11,11,0.305403608,NA,0.295819306
12,12,0.313783801,0.299952294,0.305707007
13,13,NA,NA,0.306043675
14,14,NA,0.304076781,0.31314333
15,15,0.298057233,NA,0.302891276
16,16,0.31772623,0.305147594,0.297963782
17,17,0.306646054,0.305169287,0.299291367
18,18,0.317073455,NA,0.299739273
19,19,0.317716876,NA,0.30492697
20,20,0.314168335,NA,0.301540019
21,21,0.313202429,NA,0.300664052
22,22,0.293089539,NA,0.304385133
23,23,0.296227561,NA,0.302623141
24,24,0.307071462,NA,0.301367793
25,25,0.301301795,NA,0.308702393
26,26,0.292508715,NA,0.304872827
27,27,0.295858248,NA,0.305737608
28,28,0.30264101,NA,0.312638283
29,29,0.301453273,NA,0.30602525
30,30,NA,NA,0.305043096
31,31,0.30466446,NA,0.305841472
32,32,0.302699509,NA,0.306304476
33,33,0.302189926,NA,0.305718763
34,34,0.3060901,NA,0.298538994
35,35,0.304866086,NA,0.301081563
36,36,0.304998473,NA,0.312997192
37,37,0.306085809,NA,0.314414648
38,38,0.30121945,NA,0.311938749
39,39,0.292017286,NA,0.317047942
40,40,0.301431141,NA,0.317393998
41,41,0.294438484,NA,0.296028572
42,42,0.304170097,NA,0.30759433
43,43,0.298336086,NA,0.296587766
44,44,NA,NA,0.298775592
45,45,0.3018733,NA,0.307846592
46,46,0.308275478,NA,0.310803016
47,47,0.307176526,NA,0.302077339
48,48,0.3054611,NA,0.296867748
49,49,0.302890355,NA,0.304237579
50,50,NA,NA,0.301731991
51,51,NA,NA,0.296974141
52,52,0.304384289,NA,NA
53,53,0.303495785,NA,0.311847003
54,54,NA,NA,0.312063902
55,55,0.297988771,NA,0.294491729
56,56,0.302025108,NA,0.295645081
57,57,0.302463423,NA,0.297723539
58,58,0.292279551,NA,0.302759616
59,59,0.307281963,NA,0.302072645
60,60,0.304232213,NA,0.315226087
61,61,0.29558497,NA,0.302272998
62,62,0.297235536,NA,0.295307774
63,63,0.303552392,NA,0.305299993
64,64,NA,NA,0.302666253
65,66,NA,NA,0.300126456
66,67,NA,NA,0.306264139
67,68,NA,NA,0.308738511
68,69,NA,0.299561935,0.298414259
69,70,0.29871322,0.311014948,0.296511155
70,71,0.297314629,0.300725852,0.299286718
71,72,NA,0.29810074,0.295060213
72,73,NA,0.299822138,0.305644764
73,74,NA,0.293003982,0.296911387
74,75,0.300592148,0.318288528,0.300452639
75,76,NA,0.303648074,0.295313066
76,77,NA,0.302085071,0.299652231
77,78,NA,0.287959091,0.30156072
78,79,0.30105098,0.30143392,0.29923794
79,80,0.294182936,0.302340662,0.301604219
80,81,0.300252121,0.303852097,0.295723129
81,82,0.300585208,0.304439535,0.301187625
82,83,0.29209359,0.312013382,0.302516087
83,84,0.299783901,0.302894918,0.30205147
84,85,0.305494099,0.294911748,0.301423669
85,86,NA,0.306465142,0.301732324
86,87,NA,0.306849678,0.305686248
87,88,NA,0.297176221,NA
88,89,NA,0.306751099,NA
89,90,0.301545532,0.305289628,NA
90,91,0.296041714,0.295305527,NA
91,92,0.303189373,0.293937871,NA
92,93,0.296933117,0.301231688,NA
93,94,0.303212631,0.30323365,NA
94,95,0.306205741,0.301533025,NA
95,96,0.310221296,0.289969291,NA
96,97,0.300436897,0.297694908,NA
97,98,0.301384642,0.300423305,NA
98,99,0.303679666,NA,NA
99,100,0.305556642,0.303614573,0.294790482
100,101,0.307058964,0.302238779,0.296268584
101,102,0.307345623,0.305459568,0.289695736
102,103,0.306613216,0.307341853,0.295386741
103,104,0.303912566,0.298677356,0.304341875
104,105,0.306152427,0.293126336,0.298330573
105,106,0.309908615,0.298140338,0.303194973
106,107,0.311800183,0.300959753,0.298712199
107,108,0.30540658,0.306941449,0.291122843
108,109,0.311474092,0.288798618,0.302249382
109,110,0.308997602,0.290955159,0.299100433
110,111,0.311651006,0.307113186,0.302656929
111,112,0.312030644,0.304761383,0.303618898
112,113,0.307369723,0.298299319,0.293608225
113,114,0.3079035,0.310192709,0.300778053
114,115,0.300153041,0.30735947,0.298167897
115,116,0.30809528,0.288868842,0.302524919
116,117,0.308093266,0.287507626,0.302399982
117,118,0.311910562,0.289183499,0.305129104
118,119,0.312103827,0.292803568,0.297585698
119,120,0.31095816,0.302448493,0.301169792
120,121,0.311125726,0.298665915,0.303789622
121,122,0.309900606,0.3025016,0.296133664
122,123,0.312204011,0.297717523,0.301149568
123,124,0.311252036,0.298041937,0.307172361
124,125,0.311221597,0.287916697,0.303011877
125,126,0.313024705,0.301488037,0.311066514
126,127,0.308350515,0.307024029,0.308556251
127,128,0.311617692,0.304555208,0.311275062
128,129,0.310803811,0.309374603,0.309954608
129,130,0.312404739,0.307318549,NA
130,131,0.312348516,0.305181498,0.310740292
131,132,0.314377659,0.311611519,0.307771209
132,133,0.314666409,0.311393322,0.313339889
133,134,0.316385417,0.311549441,0.328780846
134,135,0.325738356,0.30675149,NA
135,136,0.336676681,0.311208853,0.348523297
136,137,0.332712629,0.313003399,0.362847593
