,DOY,green relative Year2015.55,green relative Year2012,green relative Year2014
1,1,0.316380907,NA,0.389595204
2,2,0.312192096,NA,0.399598409
3,3,0.308130729,NA,0.403397697
4,4,0.311754509,NA,0.400291216
5,5,0.312809376,NA,0.40814418
6,6,0.306924896,NA,0.392092867
7,7,0.312507358,NA,NA
8,8,0.31099217,NA,0.401839657
9,9,0.309155339,NA,0.404245122
10,10,0.310455091,NA,0.396386474
11,11,0.310006717,NA,NA
12,12,0.314296214,NA,0.40926171
13,13,0.316641892,NA,NA
14,14,0.308551161,NA,0.41033536
15,15,0.314096466,NA,NA
16,16,0.317138427,NA,NA
17,17,0.310507479,NA,NA
18,18,0.309300108,NA,NA
19,19,0.317462265,NA,NA
20,20,0.313842883,NA,NA
21,21,0.319450387,NA,0.398354154
22,22,0.3173501,NA,0.393889259
23,23,0.312885685,NA,0.393578882
24,24,0.306112565,NA,0.396317443
25,25,0.316710227,NA,0.387971604
26,26,0.314448828,NA,0.397596945
27,27,0.31838566,NA,0.39355737
28,28,0.320190445,NA,0.393883383
29,29,0.308441757,NA,0.395809126
30,30,NA,NA,0.408901405
31,31,0.309853003,NA,NA
32,32,0.308469284,NA,0.398389864
33,33,0.317215652,NA,0.400018369
34,34,0.308312991,NA,0.400262998
35,35,0.314963397,NA,0.406274826
36,36,0.312150648,NA,0.40272246
37,37,0.315922735,NA,0.400637961
38,38,0.310885288,NA,0.395133843
39,39,0.320733877,NA,0.401638754
40,40,0.318723372,NA,0.40396261
41,41,0.31609784,NA,0.394721322
42,42,0.310303642,NA,0.397356511
43,43,0.315289667,NA,0.400952173
44,44,0.30861907,NA,0.403986251
45,45,0.312162609,NA,0.395259513
46,46,0.315580629,NA,0.397393608
47,47,0.317651754,NA,0.400556739
48,48,0.315977146,NA,0.402440326
49,49,0.315184799,NA,0.404308873
50,50,NA,NA,0.405915035
51,51,0.312928207,NA,0.408958784
52,52,0.311137871,NA,0.40262494
53,53,0.31320458,NA,0.391685205
54,54,0.315243443,NA,0.397490489
55,55,0.318611836,NA,0.40083346
56,56,0.313475174,NA,0.3951484
57,57,0.315841895,NA,0.398938516
58,58,0.30903264,NA,0.395831831
59,59,0.316054491,NA,0.400995037
60,60,0.309226845,NA,0.400340593
61,61,0.316047619,NA,0.39947604
62,62,0.319610137,NA,0.397894839
63,63,0.312133059,NA,0.399962941
64,64,0.314736353,NA,0.397327682
65,65,0.313704301,NA,0.39958094
66,66,0.310775072,NA,0.408065913
67,67,0.31180845,NA,0.400201939
68,68,0.317921006,NA,0.403721675
69,69,0.318810117,NA,0.412093532
70,70,0.317246536,NA,0.411162638
71,71,0.317170441,NA,0.395205594
72,72,0.318581108,NA,0.403485428
73,73,0.312813416,NA,0.411807451
74,74,0.315516114,NA,0.39786098
75,75,0.317758901,NA,0.398362
76,76,0.30763461,NA,0.403968928
77,77,0.317463009,NA,0.410354483
78,78,0.317793298,NA,0.403263137
79,79,0.317514699,NA,0.402293888
80,80,0.313667871,NA,0.407077353
81,81,0.314867641,NA,0.401847145
82,82,0.316820964,NA,0.396291105
83,83,0.318246599,NA,0.398707792
84,84,0.303257161,NA,0.398264703
85,85,0.315471761,NA,0.401907377
86,86,0.313590264,NA,0.400436719
87,87,0.316606955,NA,0.361162745
88,88,0.315013781,NA,0.305942148
89,89,0.31314122,NA,0.308467764
90,90,0.312104745,NA,0.32348357
91,91,0.317497982,NA,0.323005866
92,92,0.312800099,NA,0.306980367
93,93,0.314283686,NA,0.316857257
94,94,0.314131487,NA,0.299380188
95,95,0.315656117,NA,0.301696465
96,96,0.313011639,NA,0.307765715
97,97,0.312396079,NA,0.30908077
98,98,0.314583844,NA,0.313194598
99,99,0.310260528,NA,0.30992551
100,100,0.309181208,NA,0.328795122
101,101,0.316175823,NA,0.324568091
102,102,0.319460683,NA,0.326418303
103,103,0.309223664,NA,0.321332185
104,104,0.319255246,NA,0.31699318
105,105,0.321226148,NA,0.295644947
106,106,0.321695931,NA,0.305524229
107,107,0.320892368,NA,0.315952525
108,108,0.320596935,NA,0.321855792
109,109,0.321330671,NA,0.311673175
110,110,0.311170038,NA,0.327461655
111,111,0.317005217,NA,0.328389847
112,112,0.313124092,NA,0.32826761
113,113,0.316344556,NA,0.311954374
114,114,0.317639958,NA,0.332408749
115,115,0.319274206,NA,0.332186589
116,116,0.320075626,NA,0.325904944
117,117,0.319037016,NA,0.308422847
118,118,0.319647985,NA,0.309040926
119,119,0.318275945,NA,0.318412139
120,120,0.32013541,NA,0.292825626
121,121,0.322641273,NA,0.329589801
122,122,0.323318156,NA,0.329800977
123,123,0.322778778,NA,0.315395007
124,124,0.323416784,NA,0.326619533
125,125,0.323924408,NA,0.332390701
126,126,0.326535749,NA,0.314965875
127,127,0.32757187,NA,0.335262803
128,128,0.328577888,NA,0.337473815
129,129,0.323423793,NA,0.319353819
130,130,0.325384727,NA,0.33801246
131,131,0.326841333,NA,0.336200311
132,132,0.324125181,NA,0.343787031
133,133,0.327181875,NA,0.344649459
134,134,0.331179818,NA,0.342188848
135,135,0.329107007,NA,0.341074605
136,136,0.329234748,NA,0.339892294
137,137,0.337741261,NA,0.341150819
138,138,0.3494438,NA,0.33448179
139,139,0.348262202,NA,0.332141579
140,140,0.352320205,NA,0.345419848
141,141,0.353890987,NA,0.333251025
142,142,0.352541464,NA,0.344803532
143,143,0.352910845,NA,0.327674385
144,144,0.374672826,NA,0.334861582
145,145,0.372320262,NA,0.337121038
146,146,0.395497067,NA,0.35789479
147,147,0.393831002,NA,0.34831639
148,148,0.415632448,NA,0.356687562
149,149,0.412676545,NA,0.360400759
150,150,0.418570878,NA,0.369624776
151,151,0.417086769,NA,0.382955159
152,152,0.418041576,NA,0.408752228
153,153,0.417563045,NA,0.416721549
154,154,0.420056048,NA,0.423700123
155,155,0.421486137,NA,0.425360297
156,156,0.410120999,NA,0.42201665
157,157,0.418796984,NA,0.425632037
158,158,0.396818829,NA,0.429037202
159,159,NA,NA,0.427747641
160,160,0.427680823,NA,0.43200217
161,161,0.40667419,NA,0.429375774
162,162,0.414758448,NA,0.439035879
163,163,0.416332028,NA,0.423299179
164,164,0.414714932,NA,0.411149569
165,165,0.41759159,NA,0.411288386
166,166,0.413493096,NA,0.406200969
167,167,0.419726152,NA,0.407112263
168,168,0.419060609,NA,0.400159104
169,169,0.400821794,NA,0.414067406
170,170,0.414910478,NA,0.414554263
171,171,0.415705838,NA,0.430837682
172,172,0.394609551,NA,0.427144919
173,173,0.407360523,NA,0.416301137
174,174,0.396442838,NA,0.42137717
175,175,0.416689934,NA,0.41096245
176,176,0.405429294,NA,0.419409846
177,177,0.404877032,NA,0.414845967
178,178,0.413185265,NA,0.406345
179,179,0.414838288,NA,0.404154809
180,180,0.41114265,NA,0.430437814
181,181,0.375518106,NA,0.394656607
182,182,0.398162636,NA,0.399899613
183,183,0.409631775,NA,0.410106559
184,184,0.401212572,NA,0.397037419
185,185,0.399021011,NA,0.396292348
186,186,0.39928269,NA,0.397580134
187,187,0.390078758,NA,0.398916374
188,188,0.407645102,NA,0.3955676
189,189,0.405780966,NA,0.418545768
190,190,0.399853505,NA,0.40155957
191,191,0.40446738,NA,0.395905252
192,192,0.405387305,NA,0.402462788
193,193,0.406790673,NA,0.404430488
194,194,0.401169823,NA,0.398490761
195,195,0.385161222,NA,0.395672771
196,196,0.404983077,NA,0.399412626
