,DOY,green relative Year2015.C60,green relative Year2016,green relative Year2017,green relativeYear2011
1,1,0.328241982,0.323474607,0.327139511,NA
2,2,0.326435699,0.327580241,0.326462571,NA
3,3,0.327031356,0.32461658,0.325275761,NA
4,4,0.327234988,0.325665434,0.326855961,NA
5,5,0.327742762,0.324332016,0.327243886,NA
6,6,0.326205231,0.323212907,0.32811996,NA
7,7,0.328671204,0.32387745,0.328613907,NA
8,8,0.327023006,0.323135045,0.328331056,NA
9,9,0.327344397,0.324354042,0.327354425,NA
10,10,0.328419291,0.325702431,0.327375926,NA
11,11,0.328517403,0.325098418,0.326849607,NA
12,12,0.328945782,0.325416042,0.329000839,NA
13,13,0.328825081,0.326325075,0.327896107,NA
14,14,0.328370312,0.324362247,0.333251922,NA
15,15,0.330525777,0.326267896,0.334107047,NA
16,16,0.329821673,0.323765888,0.336332106,NA
17,17,0.328016057,0.323668384,0.333800386,NA
18,18,0.326545302,0.326782062,0.339608555,NA
19,19,0.327401797,0.327143519,0.328118273,NA
20,20,0.327927238,0.325119294,0.340462832,NA
21,21,0.328680592,0.326340202,0.331615671,NA
22,22,0.328275434,0.326396661,0.327995778,NA
23,23,0.332323237,0.326675455,0.329531043,NA
24,24,0.331453007,0.325591925,0.335066919,0.317493216
25,25,0.331921793,0.325201537,NA,0.318771471
26,26,0.328892767,0.325958828,0.327854078,0.321670765
27,27,0.330419882,0.325570594,0.332902506,0.317681209
28,28,0.330675434,0.32517745,0.336041341,0.318236726
29,29,0.331363564,0.327123461,0.334452354,0.319044609
30,30,NA,0.327308852,0.335185017,0.314446295
31,31,0.330114097,0.330039391,0.325524811,0.318795696
32,32,0.330283609,0.329515794,0.330104986,NA
33,33,0.332136713,0.328603513,0.3303758,0.320001368
34,34,0.330722837,0.328187676,0.331643317,0.322585306
35,35,0.331818301,0.324175433,0.328142455,0.320523488
36,36,0.332393603,0.328513048,0.32710478,0.321438897
37,37,0.330568036,NA,0.326278126,0.320869522
38,38,0.330595093,NA,0.326399181,0.319222596
39,39,0.330312792,NA,0.327636638,NA
40,40,0.331038542,NA,0.328793801,NA
41,41,0.330006246,NA,0.333050471,NA
42,42,0.330493425,NA,0.33231749,NA
43,43,0.32986761,NA,0.33521127,NA
44,44,0.329134782,NA,0.33754891,NA
45,45,0.330788963,NA,0.337267053,NA
46,46,0.332107261,NA,0.334119488,0.325720749
47,47,0.331604197,NA,0.334024584,0.326405
48,48,0.327606279,NA,0.339158129,NA
49,49,0.330789686,NA,0.33958213,NA
50,50,0.332065118,NA,0.341552621,NA
51,51,0.329776342,NA,0.342244647,0.324563734
52,52,0.330431933,NA,0.342166911,0.318989967
53,53,0.332459468,NA,0.344392238,0.324639817
54,54,0.332422808,NA,0.341380509,0.322827195
55,55,0.330486129,NA,0.335753614,0.325406235
56,56,0.332138603,NA,0.3350203,0.320444668
57,57,0.333593251,NA,0.327418378,0.326143347
58,58,0.333034877,NA,0.337000823,0.322632326
59,59,0.332940226,NA,0.332835836,0.326886218
60,60,0.333256401,0.331235213,0.335825091,0.324689818
61,61,0.333218459,NA,0.333935255,0.326605092
62,62,0.329588362,0.331765192,0.334071617,0.32404265
63,63,0.332216499,0.332195836,0.340421989,0.323761877
64,64,NA,0.331762054,0.341548505,0.328677204
65,65,0.333678988,0.332491508,0.344154207,0.324612378
66,66,0.33290875,0.331432035,0.330496196,0.324361819
67,67,0.332706001,0.327793426,0.335337189,0.321633228
68,68,0.333511109,0.328877194,0.334591033,0.326137673
69,69,0.333335697,0.329754506,0.33352097,0.327950358
70,70,0.333164004,0.329892764,0.334537113,0.323191562
71,71,0.33314236,0.329257996,0.335532673,0.323977943
72,72,0.332945707,0.329080731,NA,0.325871364
73,73,0.332375961,0.324827447,0.338199316,0.326866064
74,74,0.331939384,0.322728842,0.341897119,0.325198922
75,75,0.329211346,NA,0.34304583,NA
76,76,0.329359432,0.328001046,0.328977693,0.328000649
77,77,0.329264607,NA,0.331343213,0.323684686
78,78,0.328605397,0.329614901,0.335558195,0.326230581
