,DOY,green relative Year2015.C84,green relative Year2014
1,1,0.330103898,NA
2,2,0.330636025,NA
3,4,0.332150442,NA
4,5,0.333746294,NA
5,24,0.334995387,NA
6,25,0.335550975,NA
7,26,0.333014839,NA
8,27,0.334866105,NA
9,28,0.332313631,NA
10,29,0.333682603,NA
11,32,0.333262745,NA
12,34,0.335857267,NA
13,35,0.333241614,NA
14,37,0.333769756,NA
15,38,0.335065534,NA
16,40,0.335843524,NA
17,41,0.336007943,NA
18,42,0.336477533,NA
19,43,0.33534354,NA
20,44,0.335703238,NA
21,46,0.336081546,NA
22,47,0.332579556,NA
23,48,0.334407854,NA
24,50,0.333602767,NA
25,51,0.336056519,NA
26,52,0.333517454,NA
27,53,0.331150344,NA
28,54,0.330354603,NA
29,55,0.333818007,NA
30,56,0.333789954,NA
31,58,0.335500352,NA
32,60,0.332196616,NA
33,61,0.333559979,NA
34,62,0.331114818,NA
35,63,0.335030309,NA
36,64,0.332444839,NA
37,66,0.336151582,NA
38,67,0.332245595,NA
39,68,0.333944737,NA
40,69,0.333339978,NA
41,70,0.333815481,NA
42,72,0.332419382,NA
43,73,0.337903723,NA
44,74,0.33417964,NA
45,75,0.336629359,NA
46,76,0.335137515,NA
47,77,0.335674913,NA
48,78,0.334500021,NA
49,79,0.332415563,NA
50,80,0.336032548,NA
51,81,0.335865692,NA
52,83,0.333340966,NA
53,84,0.334439946,NA
54,85,0.334509338,NA
55,88,0.333728885,NA
56,91,0.337212744,NA
57,93,0.333779502,NA
58,94,0.337237917,NA
59,95,0.335268505,NA
60,96,0.333192957,NA
61,97,0.333954083,NA
62,99,0.337261421,NA
63,101,0.336398547,NA
64,102,0.333027182,NA
65,103,0.335378463,NA
66,109,0.338060111,NA
67,113,0.33690226,NA
68,114,0.335402567,NA
69,115,0.338163152,NA
70,118,0.338235202,NA
71,119,0.338921199,NA
72,120,0.341568274,NA
73,121,0.341710627,NA
74,125,0.343934745,NA
75,126,0.3417441,NA
76,130,0.341807862,NA
77,132,0.345741962,NA
78,136,0.346574474,NA
79,137,0.34668252,NA
80,140,0.345802046,NA
81,143,0.348524093,NA
82,149,0.351923164,NA
83,151,0.355784908,NA
84,152,0.358160815,NA
85,155,0.355947429,NA
86,157,0.355957899,NA
87,158,0.357087965,NA
88,164,0.354814037,NA
89,165,0.361049796,NA
90,167,0.357644096,NA
91,168,0.356751339,NA
92,175,0.35746978,NA
93,176,0.356504689,NA
94,177,0.358455585,NA
95,179,0.356766428,NA
96,180,0.356392833,NA
97,182,0.357215143,NA
98,183,0.357086583,NA
99,184,0.355218892,NA
100,186,0.354626003,NA
101,189,0.357187766,NA
102,191,0.354586433,NA
103,192,0.353051925,NA
104,193,0.355630536,NA
105,194,0.35294934,NA
106,195,0.353969976,NA
107,196,0.358506765,NA
108,197,0.35395395,NA
109,198,0.355005639,NA
110,199,0.358082374,NA
111,200,0.35616612,NA
112,201,0.356015843,NA
113,202,0.354023611,NA
114,203,0.355630219,0.349279358
115,204,0.355604208,0.348305565
116,205,0.353322865,0.345790495
117,206,0.351425573,0.34930084
118,207,0.354304765,0.346942381
119,208,0.357375138,0.345076451
120,209,0.358582675,0.34487072
121,210,0.352407145,0.349484263
122,211,0.356557413,0.344952966
123,212,0.352041861,0.348313877
124,213,0.354121599,0.348858322
125,214,0.352663028,0.345650381
126,215,0.351647529,0.346446841
127,216,0.350616906,0.347123173
128,217,0.351827484,0.347046114
129,218,0.350136259,0.348454563
130,219,0.347821713,NA
131,220,0.348528647,0.346887718
132,221,0.346845855,0.34660813
133,222,0.347115619,NA
134,223,0.348041544,0.344539368
135,224,0.346442076,NA
136,225,0.348115959,NA
137,226,0.347710024,0.344785117
138,227,0.347568613,NA
139,228,0.348325795,0.346031118
140,229,0.348383315,0.346811971
141,230,0.34562548,0.348042633
142,231,0.349087426,0.346200512
143,232,0.347169336,0.345051997
144,233,0.346295313,0.347739659
145,234,0.346897806,0.347087339
146,235,0.347409095,NA
147,236,0.346402134,NA
148,237,0.34821743,NA
149,238,0.347590103,NA
150,239,0.348098947,NA
151,240,0.345635343,0.347390813
152,241,0.346212816,0.347868066
