,DOY,green relative Year2015.C88
1,89,0.317276638
2,90,0.317057557
3,91,0.31965848
4,92,0.316974835
5,96,0.317137219
6,98,0.316964412
7,100,0.318587894
8,101,0.318775559
9,102,0.318847047
10,105,0.319707913
11,106,0.318675164
12,107,0.320586341
13,108,0.32101483
14,109,0.321436825
15,110,0.321612074
16,113,0.320735633
17,114,0.321192272
18,115,0.315983483
19,119,0.321965963
20,121,0.323740657
21,122,0.323401412
22,123,0.324567377
23,126,0.327308891
24,129,0.328836077
25,131,0.334228465
26,133,0.331645392
27,137,0.334917586
28,139,0.335209266
29,140,0.336669178
30,142,0.339139141
31,143,0.339795978
32,148,0.345138147
33,149,0.342674891
34,150,0.347000703
35,152,0.343116947
36,153,0.343839038
37,154,0.343732873
38,155,0.342924056
39,158,0.343691383
40,160,0.343924158
41,162,0.342696213
42,165,0.347834023
43,169,0.343666093
44,170,0.342017968
45,172,0.344959814
46,175,0.342340094
47,180,0.342506742
48,181,0.34329553
49,182,0.344638743
50,195,0.344549764
51,196,0.341980536
52,197,0.342063955
53,198,0.344713827
54,199,0.344068438
55,200,0.342945554
56,201,0.343208896
57,202,0.34160278
58,203,0.340211574
59,204,0.341671842
60,205,0.342550957
61,206,0.342253227
62,207,0.340500609
63,208,0.341549278
64,209,0.340624649
65,210,0.340356658
66,211,0.340449778
67,212,0.340341823
68,213,0.340311991
69,214,0.341111059
70,218,0.338261003
71,219,0.338676953
72,220,0.338396796
73,221,0.338278022
74,222,0.338656022
75,223,0.337518152
76,224,0.338836392
77,225,0.338301701
78,226,0.337556681
79,227,0.338896535
80,228,0.339016871
81,229,0.338228695
82,230,0.335269655
83,231,0.339565047
84,232,0.339005903
85,233,0.339715467
86,234,0.336279009
87,235,0.339906976
88,236,0.338390715
89,237,0.335680528
90,238,0.335514472
91,239,0.335850804
92,240,0.336658621
93,241,0.338691753
94,242,0.335073764
95,243,0.338607382
96,244,0.337234122
97,245,0.33783304
98,246,0.338206053
99,247,0.335869202
100,248,0.334567999
101,249,0.334464297
102,250,0.333593113
103,251,0.336039707
104,252,0.333086306
105,253,0.335092032
106,254,0.334548108
107,255,0.333172351
108,256,0.33375826
109,257,0.334017399
110,258,0.333578287
111,259,0.332326092
112,260,0.33112136
113,261,0.332962178
114,262,0.330728503
115,263,0.331866356
116,264,0.331273394
117,265,0.330144749
118,266,0.330459359
119,267,0.329110555
120,268,0.330640892
121,269,0.329855415
122,270,0.328025756
123,271,0.329504215
124,272,0.328230422
125,273,0.327687028
126,274,0.324896241
127,275,0.326247654
128,276,0.325501364
129,277,0.325666993
130,278,0.326729702
131,279,0.327301989
132,280,0.327952172
133,281,0.32683343
134,282,0.324648533
135,283,0.328170327
136,284,0.325972769
137,285,0.325249427
138,286,0.322803677
139,287,0.322925545
140,288,0.323503421
141,289,0.321867714
142,290,0.321394516
143,291,0.321534349
144,292,0.322926135
145,293,0.323951824
146,294,0.323295444
147,295,0.32220462
148,296,0.320538213
149,297,0.322269089
150,298,0.320321319
151,299,0.319003534
152,300,0.315184293
153,301,0.318203998
154,302,0.318365118
155,303,0.318002761
156,304,0.318228693
157,305,0.319670863
158,306,0.3194326
159,307,0.318671403
160,308,0.31616335
161,309,0.318806778
162,310,0.317754388
163,311,0.317965476
164,312,0.318050498
165,313,0.317394687
166,314,0.319102575
167,315,0.317537608
168,316,0.316336281
169,317,0.317637435
170,318,0.317915754
171,319,0.317439028
172,320,0.315678209
173,321,0.317145426
174,322,0.316059608
175,323,0.31633564
176,324,0.316006889
177,325,0.319482222
178,326,0.317948788
179,327,0.31801644
180,328,0.315935424
181,329,0.31389859
182,330,0.314843427
